Epoch,Train_Accuracy,Train_Loss,Val_Accuracy,Val_Loss
1,0.853,2.189,0.975,1.03
2,0.978,1.016,0.985,0.992
3,0.99,0.975,0.985,0.993
4,0.988,0.973,0.988,0.973
5,0.994,0.96,0.982,0.972
6,0.997,0.954,0.991,0.962
7,0.994,0.959,0.992,0.96
8,0.997,0.952,0.995,0.947
9,0.997,0.949,0.991,0.968
10,0.996,0.95,0.994,0.949
11,0.997,0.949,0.995,0.947
12,0.995,0.949,0.989,0.96
13,0.995,0.952,0.995,0.952
14,0.996,0.948,0.994,0.955
15,0.996,0.95,0.995,0.954
16,0.997,0.946,0.995,0.947
17,0.997,0.945,0.995,0.947
18,0.999,0.941,0.998,0.942
19,0.999,0.939,0.994,0.951
20,0.996,0.945,0.991,0.949
